time_span,x,y,z,vx,vy,vz
2460327.500000000, -5.459370338695062E+07, -3.503724043376108E+07,  2.167841410213795E+06,  1.768646676446200E+01, -3.833701737135613E+01, -4.852675879621673E+00
2460328.500000000, -5.297737744624647E+07, -3.826675316720387E+07,  1.746613002276178E+06,  1.969046675140309E+01, -3.641451010380643E+01, -4.892956271016043E+00
2460329.500000000, -5.119749727600089E+07, -4.132916452321023E+07,  1.323153544831719E+06,  2.147569253497409E+01, -3.447434705886565E+01, -4.904956449187965E+00
2460330.500000000, -4.927204096734600E+07, -4.422426912302050E+07,  8.997348398929965E+05,  2.306443702781485E+01, -3.254607211003960E+01, -4.892720640734520E+00
2460331.500000000, -4.721684715213163E+07, -4.695413527786527E+07,  4.782636504286602E+05,  2.448368029976901E+01, -3.065259750065242E+01, -4.860619187975811E+00
2460332.500000000, -4.504527865422598E+07, -4.952249186513798E+07,  6.026296631439030E+04,  2.576346457759650E+01, -2.880933841380855E+01, -4.813127358528186E+00
2460333.500000000, -4.276803462244700E+07, -5.193405773926067E+07, -3.531271350734271E+05,  2.693509863016624E+01, -2.702375570439234E+01, -4.754595231503599E+00
2460334.500000000, -4.039312147894029E+07, -5.419385052069855E+07, -7.611288583022282E+05,  2.802929497238495E+01, -2.529533897155682E+01, -4.689022487360830E+00
2460335.500000000, -3.792598380986907E+07, -5.630651323493864E+07, -1.163287306103852E+06,  2.907434845859945E+01, -2.361603527712293E+01, -4.619851723055935E+00
2460336.500000000, -3.536978696714424E+07, -5.827569655000894E+07, -1.559414496264994E+06,  3.009446318424024E+01, -2.197110153816037E+01, -4.549792856044453E+00
2460337.500000000, -3.272583422490725E+07, -6.010353132492509E+07, -1.949519944295473E+06,  3.110832629522965E+01, -2.034033263670119E+01, -4.480689339038546E+00
2460338.500000000, -2.999409339867229E+07, -6.179022101438159E+07, -2.333731799253788E+06,  3.212801284599980E+01, -1.869959420481852E+01, -4.413434398391669E+00
2460339.500000000, -2.717380138248152E+07, -6.333377649090485E+07, -2.712213102270670E+06,  3.315828614968591E+01, -1.702257028463770E+01, -4.347942488781813E+00
2460340.500000000, -2.426411049214859E+07, -6.472990747050421E+07, -3.085078043083981E+06,  3.419633434658365E+01, -1.528262278703197E+01, -4.283177812308676E+00
2460341.500000000, -2.126473810631043E+07, -6.597207547332601E+07, -3.452313100068104E+06,  3.523195764096347E+01, -1.345465269866420E+01, -4.217238287333242E+00
2460342.500000000, -1.817658102358738E+07, -6.705170368297851E+07, -3.813707662789900E+06,  3.624819343774033E+01, -1.151685274668145E+01, -4.147489984328470E+00
2460343.500000000, -1.500225821292280E+07, -6.795852977269584E+07, -4.168798170263007E+06,  3.722234012113209E+01, -9.452247743316796E+00, -4.070743979561546E+00
2460344.500000000, -1.174655009118896E+07, -6.868107931275295E+07, -4.516828987171933E+06,  3.812731608337718E+01, -7.249931705422153E+00, -3.983465000864674E+00
2460345.500000000, -8.416708848530684E+06, -6.920723027988730E+07, -4.856732233813625E+06,  3.893327031425983E+01, -4.905929294441478E+00, -3.881999311312742E+00
